Clinical Domain,Data Element,Definition
StemCellTransplants,SCTPrimaryDiagnosisSiteCode,Records the ICD-O-3 code for the site of the primary diagnosis.
StemCellTransplants,SCTPrimaryDiagnosisSite,Records the associated description for the ICD-O-3 code used in SCTPrimaryDiagnosisSiteCode.
StemCellTransplants,AgeAtTransplant,"The patient's age at the time the stem cell transplant was performed; for patients who are over the age of 89 the data is aggregated into a single category of ""Age 90 or Older""."
StemCellTransplants,"AgeAtTransplantFlag
","Indicates if the date used to calculate the AgeAtTransplant is complete, partial or not reported."
StemCellTransplants,YearOfTransplant ,The year during which the stem cell transplant procedure occurred; for patients who are over the age of 89 the data is aggregated as the year 1900. 
StemCellTransplants,TransplantType,Records the type of stem cell transplant performed.
StemCellTransplants,TransplantCellSource,Indicates the cell source of the stem cell transplant. 
StemCellTransplants,AgeAtPostTransStatus,The patient's age at the time the post-transplant status was determined.
StemCellTransplants,AgeAtPostTransStatusFlag,"Indicates if the date used to calculate the AgeAtPostTransStatus is complete, partial or not reported."
StemCellTransplants,YearOfPostTransStatus,The year during which the post-transplant status was determined.
StemCellTransplants,MRDTestInd,Indicates if a Minimal Residual Disease (MRD) test was performed. 
StemCellTransplants,AgeAtMRDTest,"The patient's age at the time the Minimal Residual Disease (MRD) test was performed; for patients who are over the age of 89 the data is aggregated into a single category of ""Age 90 or Older""."
StemCellTransplants,AgeAtMRDTestFlag,"Indicates if the date used to calculate the AgeAtMRDTest is complete, partial or not reported."
StemCellTransplants,YearOfMRDTest ,The year during which the Minimal Residual Disease (MRD) test was performed; for patients who are over the age of 89 the data is aggregated as the year 1900. 
Surgery/Biopsy,SurgeryBiopsyInd,Indicates if the patient has had any surgery and/or biopsy to report.
Surgery/Biopsy,SurgeryBiopsyReasonNotPerformed,Records the reason why the patient did not have any surgery or biopsy  reported. 
Surgery/Biopsy,PrimaryDiagnosisSiteCode,Records the ICD-O-3 code for the primary cancer for which the surgery or biopsy is being performed.
Surgery/Biopsy,PrimaryDiagnosisSite,Records the associated description for the ICD-O-3 code used in PrimaryDiagnosisSiteCode.
Surgery/Biopsy,AgeAtSurgeryBiopsy,"The patient's age at the time the surgery or biopsy was performed; for patients who are over the age of 89 the data is aggregated into a single category of ""Age 90 or Older""."
Surgery/Biopsy,AgeAtSurgeryBiopsyFlag,"Indicates if the date used to calculate the AgeAtSurgeryBiopsy is complete, partial or not reported."
Surgery/Biopsy,YearOfSurgeryBiopsy,The year during which the surgery or biopsy was performed; for patients who are over the age of 89 the data is aggregated as the year 1900. 
Surgery/Biopsy,SurgeryBiopsyLocation,Records the ICD-O-3 code for the anatomic location where the surgery or biopsy was performed.
Surgery/Biopsy,SurgeryBiopsyLocationCode,Records the associated description for the ICD-O-3 code used in SurgeryBiopsyLocation.
Surgery/Biopsy,SiteDiagnostic,Indicates that the surgery or biopsy was diagnostic.
Surgery/Biopsy,SiteTherapeutic,Indicates that the surgery or biopsy was therapeutic.
Surgery/Biopsy,SitePalliative,Indicates that the surgery or biopsy was palliative.
Surgery/Biopsy,MethodCoreBiopsyTissue,Indicates that the biopsy was a core biopsy of tissue.
Surgery/Biopsy,MethodCoreBiopsyLymphNode,Indicates that the biopsy was a core biopsy of a lymph node.
Surgery/Biopsy,MethodSurgicalResection,Indicates that the surgical procedure was a surgical resection of tissue.
Surgery/Biopsy,MethodSentinelLymphNode,"Indicates that the surgical procedure was a lymph node dissection, including sentinel lymph nodes."
Surgery/Biopsy,MethodSurgeryNOS,"Indicates that a surgical procedure was performed, but the method was not specified."
Surgery/Biopsy,MethodOther,"Indicates that a surgery or biopsy was performed, but the method was not an available option."
Tumor Markers,TumorMarkerInd,Indicates if there is a tumor marker test for the patient to report.
Tumor Markers,TumorMarkerKey,A unique domain identifier used to link the tumor marker file entry to the associated results in the flow cytometry panel file.
Tumor Markers,AgeAtTumorMarkerTest,"The patient's age at the time of the tumor marker test; for patients who are over the age of 89 the data should be is aggregated into a single category of “Age 90 or Older"". "
Tumor Markers,AgeAtTumorMarkerTestFlag,"Indicates if the date used to calculate the AgeAtTumorMarkerTest is complete, partial or not reported."
Tumor Markers,YearOfTumorMarkerTest,The year of the patient's tumor marker test; for patients who are over the age of 89 the data is aggregated as the year 1900. 
Tumor Markers,TMarkerTest,"Records the name of the tumor marker test such as HER2Neu FISH, CD8 expression etc."
Tumor Markers,TMarkerResult,"Records the results of the tumor marker test such as positive, negative, no amplification etc."
Tumor Markers,TMarkerResultValue,Records the tissue tumor marker value.
Tumor Markers,TMarkerValueUOM,"Records the unit of measure for the tumor marker results such as ng/L, mg/L, g/dL etc. "
Tumor Markers,TMarkerPercentStain,"Records the tissue tumor marker staining such as not available, % value, etc."
Tumor Markers,TMarkerPercentStainResultValue,Records the actual value (%) of the tumor marker staining.
Tumor Markers,TMarkerRangeIndicator,"Records the comparison between the result value and reference range such as within normal limits, high, etc."
Tumor Markers,TMarkerLowRange,Records the specified low range for the results of the tumor marker test performed.
Tumor Markers,TMarkerHighRange,Records the specified high range for the results of the tumor marker test performed.
Tumor Marker Flow Panels,TumorMarkerKey,A unique domain identifier used to link the flow cytometry panel results to the associated tumor marker file entry.
Tumor Marker Flow Panels,FlowPanelName,Records the name of the antigen in the flow cytometry panel.
Tumor Marker Flow Panels,FlowPanelResult,Records the result of the antigen in the flow cytometry panel.
Tumor Sequencing,"TumorSequencingInd
",Indicates if there is a tumor sequencing test for the patient to report.
Tumor Sequencing,"AgeAtTumorSequencing
",The patient's age at the time when the tumor sequencing was performed; for patients who are over the age of 89 the data is aggregated into a single category of “Age 90 or Older”.
Tumor Sequencing,"AgeAtTumorSequencingFlag
","Indicates if the date used to calculate the AgeAtTumorSequencing is complete, partial or not reported."
Tumor Sequencing,YearOfTumorSequencing ,The year the tumor sequencing test was performed; for patients who are over the age of 89 the data is aggregated as the year 1900. 
Tumor Sequencing,"TumorSequenceType

","Records the type of tumor sequencing test performed such as Foundation One, Genoptix etc.   "
Vital Status,VitalStatus,Records the vital status of the patient as of the date of last contact and/or date of death.
Vital Status,AgeAtLastContact,"The patient's age at the time of last contact; for patients who are over the age of 89 the data is aggregated into a single category of “Age 90 or Older”. 
**Note: A patient may have an AgeAtLastContact and/or an AgeAtDeath depending on the patient’s vital status at the time of abstraction."
Vital Status,AgeAtLastContactFlag,"Indicates if the date used to calculate the AgeAtLastContact is complete, partial or not reported."
Vital Status,YearOfLastContact,The year during which the patient was last contacted; for patients who are over the age of 89 the data is aggregated as the year 1900. 
Vital Status,AgeAtDeath,"The patient's age at the time of death; for patients who are over the age of 89 the data is aggregated into a single category of “Age 90 or Older”.  
**Note: A patient may have an AgeAtLastContact and/or an AgeAtDeath depending on the patient’s vital status at the time of abstraction."
Vital Status,"AgeAtDeathFlag
","Indicates if the date used to calculate the AgeAtDeath is complete, partial or not reported."
Vital Status,YearOfDeath,The year in which the patient died; for patients who are over the age of 89 the data is aggregated as the year 1900. 
Vital Status,CauseOfDeath,Records information about the cause of death in relation to the patient's cancer.
Vital Status,VitalStatusConfirmed,Indicates whether the vital status was confirmed using source documentation.
Vital Status,"VitalStatusSource
",Records which source documentation was used to confirm the vital status.
